Mariah Carey - I Don&#39;t ft. YG,UClS0wn3LPs9jdX_yt2g1k8w,MariahCareyVEVO,4:17,207570
WE FOUND OUT!! Official Gender Reveal,UC-SV8-bUJfXjrRMnp7F8Wzw,RomanAtwoodVlogs,13:20,3540124
Trump&#39;s Second Week Is as Chaotic as His First: A Closer Look,UCVTyTA7-g9nopHeHbeuvpRA,Late Night with Seth Meyers,10:02,1016511
Front Man Battle w/ Queen + Adam Lambert,UCJ0uqCI0Vqr2Rrt1HseGirg,The Late Late Show with James Corden,11:41,292046
&quot;NFL 2017&quot; — A Bad Lip Reading of the NFL,UC67f2Qf7FYhtoUIF4Sf29cA,Bad Lip Reading,5:58,5590764
Why cartoon characters wear gloves,UCLXo7UDZvByw2ixzpQCufnA,Vox,4:57,1749456
Kellyanne Conway Cites &#39;Bowling Green Massacre&#39; To Defend Refugee Ban | Hardball | MSNBC,UCaXkIU1QidjPwiAYu6GcHjg,MSNBC,5:54,603833
The Not-A-Muslim-Ban Muslim Ban | Full Frontal with Samantha Bee | TBS,UC18vz5hUUqxbGvym9ghtX_w,Full Frontal with Samantha Bee,7:13,755006
Shakira - Chantaje (Versión Salsa)[Official Video] ft. Maluma,UCGnjeahCJW1AF34HBmQTJ-Q,shakiraVEVO,3:48,2782149
Mean Tweets - NFL Edition #2,UCa6vGFO9ty8v5KZJXQxdhaw,Jimmy Kimmel Live,2:02,741653
How Many Balloons Will It Take To Make My Dog Fly,UC9gFih9rw0zNCK3ZtoKQQyA,JennaMarbles,7:45,1764008
Clueless Gamer Super Bowl Edition: &quot;For Honor” - CONAN on TBS,UCi7GJNg51C3jgmYTUwqoUXA,Team Coco,11:30,630307
Injustice 2: Black Canary Gameplay Reveal Trailer - IGN First,UCKy1dAqELo0zrOtPkf0eTMw,IGN,1:47,961356
GROUNDHOG DAYING | Chris &amp; Jack,UC3Liv5-jdU2Qk53lTtYDG2w,Chris and Jack,4:15,524886
Groundhog Day 2017: Watch Punxsutawney Phil&#39;s prediction,UC5yvng1eSgffmybUM-51fTw,PennLive.com,1:21,657062
Ed Sheeran - Shape of You [Official Video],UC-9-kyTW8ZkZNDHQJ6FgpwQ,Ed Sheeran,4:24,35978213
Ariana Grande John Legend - Beauty and the Beast (From &quot;Beauty and the Beast&quot;/Audio Only),UC0C-w0YjGpqDXGB8IHb662A,DisneyMusicVEVO,3:50,1255314
Depeche Mode - Where&#39;s the Revolution (Audio),UCgwv23FVv3lqh567yagXfNg,DepecheModeVEVO,5:01,855555
Maggie Rogers - On + Off,UC90vR_MFeheV3V6nmjvXIng,MaggieRogersVEVO,3:47,188995
Ariana Grande - Everyday (Lyric Video) ft. Future,UChfRct5EhDlJz9iCRiestyw,ArianaGrandeVevo,3:15,7395724
Zac Brown Band - My Old Man (Lyric Video),UC0VOyT2OCBKdQhF3BAbZ-1g,Zac Brown Band,3:50,94837
Jeremih - I Think Of You (Audio) ft. Chris Brown Big Sean,UCH5oChsU9MVM7gIqBolNKGQ,JeremihVEVO,3:38,115444
Fetty Wap - Way You Are feat. Monty [Audio Only],UCnPv641OQpDcicKtva2kwrw,harlem fetty,4:29,62279
The Knocks - WORSHIP ft. MNEK [Official Audio],UC_eQfAQjj6mYj92l3SBmIdg,itstheknocks,3:35,3635
MUNA - I Know A Place (Official Video),UCFOoRQX5hTgJplXVeGBT-8g,MunaVEVO,4:38,5331
G-Eazy - Some Kind Of Drug (Lincoln Jesser Remix)[Audio] ft. Marc E. Bassy,UCcii2dpxJDyvoQ7UppBJIGQ,GEazyMusicVEVO,3:44,77512
Cold War Kids - Love Is Mystical,UCjjC1Jk_1o1VWpLalgo21XQ,ColdWarKidsVEVO,3:42,29738
K.Flay - Black Wave (Lyric Video),UCeKbKQkqKuJWW15sboqEwcw,KFlayVEVO,3:37,7253
Sam Hunt - Body Like A Back Road (Audio),UCVLwtJGEFKgnZdWmKnbieDw,SamHuntVEVO,2:46,82784
The Band Perry - Stay In The Dark (Audio),UCe9JQN67fXOpATmbLuR9Upw,TheBandPerryVEVO,3:12,17263
I Bet You Cant Stop Laughing | New Funny Pranks Videos Vines,UCraEOCQpNcwDPHW84QpXAbQ,BoyFunnyGuys,8:41,3915572
*IF YOU LAUGH YOU LOSE* Funny Kids Fails Vines Compilation 2017 Part 2 | by Life Awesome,,Life Awesome,10:15,2473213
Funny Vines January 2017 (Part 3) TBT Vine compilation,UCem7tBXGdpvN643t9tFaGVA,CooL Vines,20:19,1597480
Funny Animals Vines Vine compilation November 2016,UCc2wpI97rT7TZGkhnylYgDA,Vines Video,26:03,5197559
New Zach King Magic Vines 2016 | Best Zach King Magic Tricks Ever,UC3rrzHpFzshYjIMk8YFc52w,World Wide Vines,41:07,6893298
New Zach King Magic Vines 2016 | Best Zach King Magic Tricks Ever,UCbzLjQN9rJmCNMqj9swVTpw,Dream Vine,30:42,5899755
TRY NOT TO LAUGH OR GRIN CHALLENGE (Impossible): Vine &amp; Instagram Edition Part 6 | BEST VINES,UCin1uQFML-b652rDQ4D9wmQ,BEST VINES,15:41,9096312
Ultimate Cole LaBrant Vine Compilation (w/Titles) Funny Cole LaBrant Vines of 2016 - Co Viners,UCXBf8WHCrixdfPrtlu61vJg,Co Viners,31:19,7084708
Try Not to Laugh or Grin While Watching This Compilation Vine / December 2016 Pt.2- Vine Age✔,UCB8UA8YCUv9DseHrLHg6wKw,Vine Age,16:42,1894735
You Laugh You Lose Funny Vines Comp,UCdhoqGOVRz1f8WkZ8v_5tOQ,Funny Vines,14:34,740484
BatDad NEW Vines 2015 - Vine compilation - Best Viners,UCfF6ZjZ4R8-RZBFaLPhQ-xA,Best Viners,34:45,19910820
*Try Not To Laugh Challenge* Funny Kids Vines Compilation 2016 | Funniest Kids Videos,UCd07rKJ7Q0pg5ths7Pz8k8Q,All Of Vines,17:16,73603259
Best Viners Compilation of January 2017 Part 1 | Funniest Videos of January 2017 (w/ Titles),UCGbooUxbbC-YmRXCNQ96Ycw,Vine Daily,29:35,1200966
Try Not To Laugh Challenge - Funny Cat &amp; Dog Vines compilation 2017,UCrBYTP-sa4dtOjMWEBfR_Ng,CooL Vines,10:54,2136307
King Bach Vines Vs Thomas Sanders Vines (W/Titles) Best Vine Compilation 2017,UCGlmhyeAPZkwX2Zr_CvAeXg,Co Vines,21:39,1248857
Greatest Trick Plays in Football History,UC3rrzHpFzshYjIMk8YFc52w,Jaydon,13:39,9991017
Top 10 hardest football knockout hits,UC4WNEEzWfK0fJJxxjQ4EYeg,TheLookin4now,16:09,2030129
Top 20 Unexpected Goals In Football,,Dan1s,5:50,11257413
Greatest NFL Ejections,UCr1TEhHFn8jEXraaZ1lslhQ,baseball maniac,11:33,860683
Top 5 Fluke Catches in NFL History,UCs14V6Z-JxsdE7opkYT8TwA,Highlight Heaven,5:24,515505
Top 10 Smart Penalty Goals In Football,UCvcLCMmInjvU_p7FEePAo0g,Fazeli,3:49,33168878
The Greatest Runs in NFL History,UCmm8yA5Bj_J7Wanyt73bLsQ,BeastModeHighlights,10:38,1256718
Worst Plays of the 2016 Season | NFL Highlights,UCq0grzC77X9UZd9xngQRTjg,NFL,17:51,1299299
Top 10 Emotional Moments of the 2016 Season | NFL Highlights,UCUagJzaUxRT1YCTI_Zu0fsA,NFL,6:31,708683
Top 5 Worst Plays Of All Time | NFL,UCZVhyqi9QA74rDYhheS9U-A,Jaydon,4:33,6641205
Biggest Football Hits Ever,UCDVYQ4Zhbm3S2dlz7P1GBDg,The Highlight Factory,4:14,22677069
Seattle Mist VS Temptations LFL League,UCDVYQ4Zhbm3S2dlz7P1GBDg,SYCOSPORTS,1:17:12,2238553
AFC vs. NFC | 2017 NFL Pro Bowl Game Highlights,UCr1TEhHFn8jEXraaZ1lslhQ,NFL,9:50,2150456
Best Hands: Pro Bowl Skills Showdown | NFL,UCsEXpx8Ew8lQZYTMWu1Ep5g,NFL,10:30,1793934
Power Relay Race: Pro Bowl Skills Showdown | NFL,UCQUVfaTGLOkPX7fiPq3o4pg,NFL,6:55,1705182
Shakira - Chantaje (Versión Salsa)[Official Video] ft. Maluma,UCDVYQ4Zhbm3S2dlz7P1GBDg,shakiraVEVO,3:48,2782149
Mean Tweets - NFL Edition #2,UCDVYQ4Zhbm3S2dlz7P1GBDg,Jimmy Kimmel Live,2:02,741653
